slug,age,height,position
kornelius-normann-hansen,24,175.0,Forward
jochem-ritmeester-van-de-kamp,21,177.0,Midfielder
ricardo-visus-contreras,24,192.0,Defender
vasilios-zagaritis,24,178.0,Defender
jonas-wendlinger,24,192.0,Goalkeeper
jaden-pinas,21,,Defender
tim-receveur,33,182.0,Midfielder
joel-van-der-wilt,21,187.0,Goalkeeper
alejandro-balboa-bandeira,24,181.0,Midfielder
anas-tahiri,30,179.0,Midfielder
malcolm-mateyo,20,,Goalkeeper
marvin-martins-santos-da-graca,30,185.0,Defender
ali-jasim-elaibi-al-tameemi,21,178.0,Midfielder
junior-morau-kadile,22,182.0,Forward
hamdi-akujobi,25,175.0,Defender
christopher-mamengi,24,182.0,Defender
thom-haye,30,187.0,Midfielder
james-lawrence,32,188.0,Defender
nordin-bakker,27,196.0,Goalkeeper
baptiste-guillaume,29,190.0,Forward
emanuel-poku,19,,Forward
alejandro-carbonell-valles,27,182.0,Midfielder
faiz-mattoir,24,164.0,Forward
ruben-providence,23,178.0,Forward
thomas-robinet,28,180.0,Forward
stijn-keller,25,195.0,Goalkeeper
charles-andreas-brym,26,182.0,Forward
damil-dankerlui,28,172.0,Defender
jeffry-germain-puriel,22,195.0,Forward
joey-jacobs,25,185.0,Defender
adi-nalic,27,190.0,Midfielder
theo-barbet,24,184.0,Defender
jeyland-yahir-mitchell-baltodano,20,187.0,Defender
jan-plug,20,188.0,Defender
gernot-trauner,33,183.0,Defender
stephano-emmanuel-carrillo-calderon,19,,Forward
david-hancko,27,188.0,Defender
chris-kevin-nadje,23,190.0,Midfielder
hugo-bueno,22,180.0,Defender
luka-ivanusec,26,175.0,Forward
facundo-gonzalez-molino,22,193.0,Defender
igor-guilherme-barbosa-da-paixao,24,168.0,Forward
djomar-giersthove,20,,Defender
ayase-ueda,26,182.0,Forward
in-beom-hwang,28,177.0,Midfielder
oussama-targhalline,23,186.0,Midfielder
thijs-kraaijeveld,18,,Midfielder
quilindschy-hartman,23,183.0,Defender
anis-hadj-moussa,23,176.0,Forward
ismail-ka,19,,Goalkeeper
zepiqueno-redmond,18,,Forward
justin-bijlow,27,188.0,Goalkeeper
gijs-smal,27,183.0,Defender
jordan-lotomba,26,177.0,Defender
antoni-djibu-milambo,20,179.0,Midfielder
tobias-van-den-elshout,18,188.0,Midfielder
