slug,age,height,position
marc-guehi,24,182.0,Defender
jean-philippe-mateta,27,192.0,Forward
nathaniel-edwin-clyne,34,175.0,Defender
maxence-lacroix,25,190.0,Defender
will-hughes,30,185.0,Midfielder
edward-nketiah,26,175.0,Forward
daniel-munoz-mejia,29,180.0,Defender
chadi-riad-dnanou,21,186.0,Defender
joel-ward,35,188.0,Defender
joseph-charles-whitworth,21,179.0,Goalkeeper
hindolo-thomas-e-mustapha,18,,Midfielder
matt-turner,30,191.0,Goalkeeper
ismaila-sarr,27,185.0,Forward
romain-joy-kouakou-esse,20,175.0,Midfielder
adam-wharton,21,182.0,Midfielder
chris-richards,25,188.0,Defender
caleb-kporha,18,170.0,Defender
zachariah-daniel-robert-marsh,19,176.0,Forward
remi-matthews,31,184.0,Goalkeeper
kaden-rodney,20,189.0,Midfielder
eberechi-eze,26,178.0,Midfielder
ben-chilwell,28,178.0,Defender
matheus-franca-de-oliveira,21,178.0,Forward
malcolm-ebiowei,21,185.0,Forward
jefferson-andres-lerma-solis,30,179.0,Midfielder
dean-henderson,28,188.0,Goalkeeper
daichi-kamada,28,184.0,Midfielder
tyrick-mitchell,25,175.0,Defender
cheick-oumar-doucoure,25,180.0,Midfielder
franco-umeh-chibueze,20,185.0,Forward
brandon-pierrick,23,,Midfielder
justin-devenny,21,178.0,Midfielder
francisco-evanilson-de-lima-barbosa,25,183.0,Forward
callan-mckenna,18,188.0,Goalkeeper
remy-rees-dottin,19,174.0,Forward
archie-andrew-philip-harris,20,166.0,Defender
david-brooks,27,173.0,Midfielder
dominic-sadi,21,174.0,Forward
lewis-cook,28,175.0,Midfielder
antoine-semenyo,25,185.0,Forward
marcos-senesi,28,185.0,Defender
adam-smith-1991-04-29,34,180.0,Defender
alex-scott,21,178.0,Midfielder
dango-aboubacar-faissal-ouattara,23,177.0,Forward
illia-zabarnyi,22,189.0,Defender
tyler-adams,26,173.0,Midfielder
james-hill,23,184.0,Defender
luis-fernando-sinisterra-lucumi,25,172.0,Forward
daniel-jebbison,21,190.0,Forward
zain-rio-silcott-duberry,19,183.0,Forward
kepa-arrizabalaga-revuelta,30,189.0,Goalkeeper
enes-unal,28,187.0,Forward
julian-araujo,23,175.0,Defender
matai-akinmboni,18,191.0,Defender
benjamin-george-winterburn,20,185.0,Midfielder
will-dennis,24,188.0,Goalkeeper
milos-kerkez,21,180.0,Defender
maxwell-kinsey-wellings,20,184.0,Defender
justin-kluivert,26,171.0,Forward
ryan-christie-1995-02-22,30,178.0,Midfielder
julio-cesar-soler-barreto,20,170.0,Defender
daniel-adu-adjei,19,177.0,Forward
marcus-tavernier,26,178.0,Midfielder
danilo-dos-santos-de-oliveira,24,176.0,Midfielder
felipe-rodrigues-da-silva,23,192.0,Defender
matz-sels,33,188.0,Goalkeeper
nicolas-dominguez,26,179.0,Midfielder
callum-hudson-odoi,24,182.0,Forward
anthony-elanga,23,178.0,Forward
alejandro-moreno-lopera,32,179.0,Defender
elliott-anderson,22,179.0,Midfielder
willy-boly,34,195.0,Defender
wayne-hennessey,38,198.0,Goalkeeper
temitayo-olufisayo-olaoluwa-aina,28,184.0,Defender
ryan-yates-1997-01-28,27,190.0,Midfielder
ramon-sosa-acosta,25,179.0,Forward
chris-wood,33,191.0,Forward
nikola-milenkovic,27,195.0,Defender
carlos-miguel-dos-santos-pereira,26,204.0,Goalkeeper
joel-tshisanga-ndala,19,178.0,Forward
eric-emanuel-da-silva-moreira,19,184.0,Forward
zach-abbott,19,180.0,Defender
neco-williams,24,183.0,Defender
joao-pedro-ferreira-silva,25,179.0,Forward
ibrahim-sangare,27,191.0,Midfielder
morgan-gibbs-white,25,171.0,Midfielder
murillo-santiago-costa-dos-santos,22,180.0,Defender
taiwo-michael-awoniyi,27,183.0,Forward
harry-toffolo,29,183.0,Defender
brennan-johnson,24,186.0,Forward
mickey-van-de-ven,24,193.0,Defender
cristian-gabriel-romero,27,185.0,Defender
malachi-hardy,17,188.0,Defender
dante-jamel-cassanova,20,179.0,Defender
william-lankshear,20,188.0,Forward
sergio-reguilon-rodriguez,28,178.0,Defender
brandon-austin,26,188.0,Goalkeeper
kevin-danso,26,190.0,Defender
pedro-antonio-porro-sauceda,25,173.0,Defender
rodrigo-bentancur-colman,27,187.0,Midfielder
mathys-tel,20,183.0,Forward
dane-scarlett,21,180.0,Forward
heung-min-son,32,183.0,Forward
rio-kyerematen,20,174.0,Midfielder
radu-dragu-in,23,191.0,Defender
oyindamola-ajayi,19,176.0,Forward
luka-vuskovic,18,193.0,Defender
pape-matar-sarr,22,185.0,Midfielder
dominic-solanke,27,187.0,Forward
dejan-kulusevski,25,186.0,Forward
fraser-forster,37,201.0,Goalkeeper
yves-bissouma,28,182.0,Midfielder
mikey-moore,17,180.0,Forward
wilson-odobert,20,182.0,Forward
ben-davies-1993-04-24,32,181.0,Defender
antonin-kinsky,22,190.0,Goalkeeper
guglielmo-vicario,28,194.0,Goalkeeper
alfie-whiteman,26,189.0,Goalkeeper
archie-gray,19,187.0,Midfielder
timo-werner,29,180.0,Forward
iyenoma-destiny-udogie,22,186.0,Defender
james-maddison,28,175.0,Midfielder
callum-latif-olusesi,18,175.0,Midfielder
djed-spence,24,185.0,Defender
lucas-bergvall,19,187.0,Midfielder
richarlison-de-andrade,28,184.0,Forward
jack-porter-2008-07-15,16,187.0,Goalkeeper
leandro-trossard,30,172.0,Forward
myles-anthony-lewis-skelly,18,178.0,Midfielder
jack-henry-francis,21,181.0,Midfielder
thomas-teye-partey,31,185.0,Midfielder
kieran-tierney,28,178.0,Defender
gabriel-teodoro-martinelli-silva,23,178.0,Forward
joshua-nichols,18,165.0,Defender
ismeal-kabia,19,175.0,Forward
alexei-rojas-fedorushchenko,19,186.0,Goalkeeper
martin-odegaard,26,178.0,Midfielder
bukayo-saka,23,178.0,Midfielder
declan-rice,26,188.0,Midfielder
takehiro-tomiyasu,26,187.0,Defender
jimi-gower,20,,Midfielder
michal-rosiak,19,180.0,Defender
kai-havertz,25,193.0,Forward
oleksandr-zinchenko,28,175.0,Defender
mikel-merino-zazon,28,189.0,Midfielder
salah-oulad-m-hand,21,177.0,Midfielder
gabriel-dos-santos-magalhaes,27,190.0,Defender
tommy-hogan-setford,19,185.0,Goalkeeper
riccardo-calafiori,23,188.0,Defender
raheem-shaquille-sterling,30,172.0,Forward
jakub-piotr-kiwior,25,189.0,Defender
nathan-butler-oyedeji,22,177.0,Forward
ethan-chidiebere-nwaneri,18,176.0,Midfielder
ben-white,27,186.0,Defender
norberto-murara-neto,35,190.0,Goalkeeper
david-raya-martin,29,183.0,Goalkeeper
brayden-cian-clarke,17,,Defender
william-saliba,24,192.0,Defender
jurrien-maduro,23,179.0,Defender
gabriel-fernando-de-jesus,28,175.0,Forward
emerson-palmieri-dos-santos,30,176.0,Defender
lucas-tolentino-coelho-de-lima,27,180.0,Midfielder
konstantinos-mavropanos,27,194.0,Defender
regan-clayton,20,,Defender
daniel-william-john-ings,32,178.0,Forward
vladimir-coufal,32,174.0,Defender
jarrod-bowen,28,175.0,Forward
freddie-potts,21,,Midfielder
evan-ferguson,20,183.0,Forward
aaron-wan-bissaka,27,183.0,Defender
ezra-mayers,18,183.0,Defender
alphonse-areola,32,195.0,Goalkeeper
jean-clair-todibo,25,192.0,Defender
edson-omar-alvarez-velazquez,27,187.0,Midfielder
crysencio-summerville,23,174.0,Forward
tomas-soucek,30,192.0,Midfielder
lukasz-fabianski,40,190.0,Goalkeeper
